Geneid	EBF1-dTAG_N_0h_rep1	EBF1-dTAG_N_0h_rep2	EBF1-dTAG_N_0h_rep3	EBF1-dTAG_N_0h_rep4	EBF1-dTAG_N_6h_rep1	EBF1-dTAG_N_6h_rep2	EBF1-dTAG_N_6h_rep3	EBF1-dTAG_N_6h_rep4
ENSMUSG00000102693.1	0	0	0	0	0	0	0	0
ENSMUSG00000064842.1	0	0	0	0	0	0	0	0
ENSMUSG00000051951.5	0	0	0	0	0	0	0	0
ENSMUSG00000102851.1	0	0	0	0	0	0	0	0
ENSMUSG00000103377.1	0	2	0	0	0	0	0	0
ENSMUSG00000104017.1	0	0	0	0	0	0	0	0
ENSMUSG00000103025.1	0	0	0	0	0	0	0	0
ENSMUSG00000089699.1	0	0	0	0	0	0	0	0
ENSMUSG00000103201.1	0	0	0	0	0	0	0	0
ENSMUSG00000103147.1	0	0	0	0	0	1	1	0
ENSMUSG00000103161.1	0	0	0	0	0	0	0	0
ENSMUSG00000102331.1	0	0	0	0	0	0	0	0
ENSMUSG00000102348.1	0	0	0	0	0	0	0	0
ENSMUSG00000102592.1	0	0	0	0	0	0	0	0
ENSMUSG00000088333.2	0	0	0	0	0	0	0	0
ENSMUSG00000102343.1	0	0	0	0	0	0	0	0
ENSMUSG00000025900.11	0	0	0	0	0	0	0	0
ENSMUSG00000102948.1	0	0	0	0	0	0	0	0
ENSMUSG00000109048.1	0	0	0	0	0	0	0	0
ENSMUSG00000104123.1	0	0	0	0	0	0	0	0
ENSMUSG00000025902.13	0	0	0	0	0	0	0	0
ENSMUSG00000104238.1	0	0	0	0	0	0	0	0
ENSMUSG00000102269.1	5	1	0	3	9	0	1	8
ENSMUSG00000096126.1	0	0	0	0	0	0	0	1
ENSMUSG00000103003.1	0	0	0	0	0	0	0	0
ENSMUSG00000104328.1	0	0	0	0	0	0	0	0
ENSMUSG00000102735.1	0	0	0	0	0	0	0	0
ENSMUSG00000098104.1	11	27	14	18	17	10	11	13
ENSMUSG00000102175.1	1	6	0	14	3	2	6	10
ENSMUSG00000088000.1	0	3	0	0	0	0	0	0
ENSMUSG00000103265.1	0	1	3	6	1	0	3	5
ENSMUSG00000103922.1	14	6	23	13	16	12	12	12
ENSMUSG00000033845.13	1159	1215	1498	1424	1353	1489	1408	1278
ENSMUSG00000102275.1	24	28	44	47	47	57	39	53
ENSMUSG00000025903.14	1671	1469	2099	2034	2321	2091	2174	2175
ENSMUSG00000104217.1	0	0	0	0	0	0	2	0
ENSMUSG00000033813.15	2355	2504	2990	3006	2953	3034	3149	2539
ENSMUSG00000062588.4	1	7	0	2	10	6	5	7
ENSMUSG00000103280.1	0	0	0	0	0	0	0	0
ENSMUSG00000002459.17	0	0	0	0	0	0	0	0
ENSMUSG00000091305.1	0	0	0	0	0	0	0	0
ENSMUSG00000102653.1	0	0	0	0	0	0	0	0
ENSMUSG00000085623.1	0	0	0	0	0	0	0	0
ENSMUSG00000091665.1	0	0	0	0	0	0	0	0
ENSMUSG00000033793.12	1746	1711	2233	2283	2451	2647	2437	2279
ENSMUSG00000104352.1	0	0	0	0	0	0	0	0
ENSMUSG00000104046.1	0	0	0	0	0	0	0	0
ENSMUSG00000102907.1	0	0	0	0	0	0	0	0
ENSMUSG00000025905.13	0	0	0	0	0	0	0	0
ENSMUSG00000103936.1	0	0	0	0	0	0	0	0
ENSMUSG00000093015.1	0	0	0	0	0	0	0	0
ENSMUSG00000103519.1	0	0	0	0	0	0	0	0
ENSMUSG00000033774.4	0	0	0	0	0	0	0	0
ENSMUSG00000103090.1	0	0	0	0	0	0	0	0
ENSMUSG00000025907.14	1823	1684	2062	2135	1934	2133	1973	2009
ENSMUSG00000090031.2	136	117	188	178	145	197	197	195
ENSMUSG00000087247.3	0	0	0	0	0	0	0	0
ENSMUSG00000103355.1	0	2	2	5	0	5	0	1
ENSMUSG00000102706.1	0	0	0	0	0	0	0	0
ENSMUSG00000103845.1	0	1	0	2	0	1	1	1
ENSMUSG00000033740.17	0	0	0	0	3	0	0	0
ENSMUSG00000103329.2	0	0	0	0	0	0	0	0
ENSMUSG00000104385.1	0	0	0	0	0	0	0	0
ENSMUSG00000102135.1	23	19	14	19	25	8	17	12
ENSMUSG00000103282.1	0	0	0	0	0	0	0	0
ENSMUSG00000102534.1	0	0	0	0	0	0	0	0
ENSMUSG00000102213.1	2	3	7	1	2	0	8	4
ENSMUSG00000103629.1	2	3	5	1	3	7	4	2
ENSMUSG00000051285.17	4549	4406	5989	5847	7320	7685	7670	7585
ENSMUSG00000098201.1	0	1	1	0	0	0	1	0
ENSMUSG00000103509.1	1022	895	1580	1183	1108	1544	1422	1664
ENSMUSG00000048538.7	31	32	37	38	35	38	31	31
ENSMUSG00000103709.1	0	0	0	0	0	0	0	0
ENSMUSG00000077244.1	0	0	0	0	0	0	0	0
ENSMUSG00000102768.1	0	0	0	0	0	0	0	0
ENSMUSG00000097797.6	98	115	125	80	127	142	112	131
ENSMUSG00000103498.1	0	0	0	0	0	0	0	0
ENSMUSG00000103067.1	0	0	0	0	0	0	0	0
ENSMUSG00000102320.1	0	0	0	0	0	0	0	0
ENSMUSG00000104226.1	0	0	1	1	0	0	0	0
ENSMUSG00000103903.1	0	0	0	0	2	0	0	0
ENSMUSG00000103557.1	0	0	0	0	0	0	0	0
ENSMUSG00000025909.16	0	0	0	0	0	0	0	0
ENSMUSG00000102647.1	0	0	0	0	0	0	0	0
ENSMUSG00000086235.1	8	2	6	5	11	3	1	2
ENSMUSG00000102253.1	0	0	0	0	0	0	0	0
ENSMUSG00000093970.1	0	0	0	0	0	0	0	0
ENSMUSG00000103884.1	0	0	0	0	0	0	0	0
ENSMUSG00000084353.1	13	11	7	25	9	12	30	12
ENSMUSG00000103933.1	1	7	4	3	1	4	2	9
ENSMUSG00000076135.1	5	5	5	3	3	2	2	2
ENSMUSG00000086195.1	0	0	0	0	0	0	0	0
ENSMUSG00000104504.1	0	0	0	0	0	0	0	0
ENSMUSG00000066693.2	0	0	0	0	2	0	0	0
ENSMUSG00000102316.1	0	0	0	0	0	0	0	0
ENSMUSG00000103819.1	0	0	0	0	0	0	0	0
ENSMUSG00000102871.1	0	0	0	0	0	0	0	0
ENSMUSG00000101571.2	2	1	1	0	2	0	0	0
ENSMUSG00000104428.1	0	0	0	0	0	0	0	0
ENSMUSG00000102272.1	0	0	0	0	0	0	0	0
ENSMUSG00000065625.1	0	0	0	0	0	0	0	0
ENSMUSG00000103411.1	0	0	0	0	0	0	3	0
ENSMUSG00000061024.8	1521	1419	1824	1865	1473	1501	1711	1301
ENSMUSG00000025911.14	13	15	17	37	15	23	16	22
ENSMUSG00000079671.8	0	0	0	0	0	0	1	0
ENSMUSG00000081441.3	0	4	2	0	0	0	0	0
ENSMUSG00000067879.3	0	0	0	0	0	0	0	0
ENSMUSG00000099827.1	0	0	0	0	0	0	0	0
ENSMUSG00000025912.16	576	477	653	623	639	668	526	575
